water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2001,483.0032962,1234126.102,0.59625,83.0340167,0,0.275989463
2002,447.7797625,1075514.61,0.536666667,83.0340167,0,0.275989463
2003,437.3327305,1083832.967,0.29125,83.0340167,0,0.275989463
2004,497.2949975,1217505.566,0.364,83.0340167,0,0.275989463
2005,505.8325802,1238701.199,0.372,83.0340167,0,0.275989463
2006,530.9096798,1315279.013,0.34,83.0340167,0,0.275989463
2007,599.5249004,1437607.791,0.568,83.0340167,0,0.275989463
2008,614.3966181,1491993.293,0.4725,83.0340167,0,0.275989463
2009,467.2648163,1188546.4,0.39,83.0340167,0,0.275989463
2010,507.2936802,1231924.184,0.416,83.0340167,0,0.275989463
2011,535.8325224,1331181.754,0.428,83.0340167,0,0.275989463
2012,507.0194326,1225557.206,0.423,83.0340167,0,0.275989463
2013,553.3991068,1365972.059,0.371,83.0340167,0,0.275989463
2014,487.0470442,1417034.239,0.417,83.0340167,0,0.275989463
