"water_year","flux_kgy","flow_m3y","tp_mgl","RSQ","p.value","RMSE"
2001,97.106879558206,2988484.2933251,0.0286161290322581,80.851554742977,0,0.543696745216765
2002,167.866674307386,4293062.40031976,0.042559375,80.851554742977,0,0.543696745216765
2003,204.793661663667,4757974.86940575,0.0816806451612903,80.851554742977,0,0.543696745216765
2004,192.567051528755,4626918.51426638,0.032751724137931,80.851554742977,0,0.543696745216765
2005,395.021935733881,7381608.15870205,0.0518171428571429,80.851554742977,0,0.543696745216765
2006,961.740092396932,13727864.2903563,0.0664833333333333,80.851554742977,0,0.543696745216765
2007,161.875810906881,3820481.04843135,0.0315434782608696,80.851554742977,0,0.543696745216765
2008,160.280108048284,3760699.19817678,0.0479905214285714,80.851554742977,0,0.543696745216765
2009,152.537126675782,3569334.37584704,0.0485491346428571,80.851554742977,0,0.543696745216765
2010,263.335111215214,5125163.21928406,0.0612790189655172,80.851554742977,0,0.543696745216765
2011,909.979864319299,12086593.2104184,0.0653984848484848,80.851554742977,0,0.543696745216765
2012,214.598852000924,4394468.34640972,0.0421921739130435,80.851554742977,0,0.543696745216765
2013,138.830287118684,3337982.23827157,0.054,80.851554742977,0,0.543696745216765
