water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2001,2510.459044,5636060.348,0.566,98.74113954,0,0.279703274
2002,2036.341377,4654976.962,0.42,98.74113954,0,0.279703274
2003,3314.805716,7134703.606,0.405,98.74113954,0,0.279703274
2004,3300.855355,6804855.756,0.4075,98.74113954,0,0.279703274
2005,1167.49644,2157928.563,0.75,98.74113954,0,0.279703274
2006,1298.424363,2671660.496,0.6,98.74113954,0,0.279703274
2007,1486.436233,3283304.382,0.7,98.74113954,0,0.279703274
2008,1031.325374,1922634.039,0.6,98.74113954,0,0.279703274
2009,906.0240191,1739515.213,0.5,98.74113954,0,0.279703274
2010,415.0957853,893367.0604,0.6,98.74113954,0,0.279703274
2011,3321.022836,5433844.287,0.55,98.74113954,0,0.279703274
2012,2803.838931,4173701.794,0.7,98.74113954,0,0.279703274
2013,217.4321177,917496.1312,0.9,98.74113954,0,0.279703274
