water_year,flux_kgy,flow_m3y,tn_mgl,RSQ,p.value,RMSE
2001,442.3331944,1234381.245,0.39625,74.05051486,0,0.303890758
2002,428.1673727,1168973.796,0.5075,74.05051486,0,0.303890758
2003,425.7534329,1179494.07,0.581,74.05051486,0,0.303890758
2004,390.7314103,1095511.02,0.3675,74.05051486,0,0.303890758
2005,432.0053228,1236988.596,0.289,74.05051486,0,0.303890758
2006,462.1633931,1335096.275,0.278,74.05051486,0,0.303890758
2007,472.0223831,1359806.688,0.493,74.05051486,0,0.303890758
2008,446.296546,1323884.809,0.467,74.05051486,0,0.303890758
2009,436.7035415,1321762.438,0.328,74.05051486,0,0.303890758
2010,403.4458726,1221330.512,0.379,74.05051486,0,0.303890758
2011,425.5064497,1320416.822,0.349,74.05051486,0,0.303890758
2012,390.8327491,1216651.604,0.346,74.05051486,0,0.303890758
2013,412.321786,1321395.452,0.344,74.05051486,0,0.303890758
2014,362.1728161,1372607.937,0.413,74.05051486,0,0.303890758
