"water_year","flux_kgy","flow_m3y","tp_mgl","RSQ","p.value","RMSE"
2001,5295.91939081737,37584508.6132198,0.165666666666667,93.0043981191002,0,0.341184368893813
2002,17723.0400159638,115637393.157086,0.1035,93.0043981191002,0,0.341184368893813
2003,14811.4923671078,97667295.7755397,0.113342105263158,93.0043981191002,0,0.341184368893813
2004,12560.0822431073,79306214.2310011,0.113578947368421,93.0043981191002,0,0.341184368893813
2005,9774.41408501585,70987389.4520863,0.144725,93.0043981191002,0,0.341184368893813
2006,19160.8060565036,127434780.437388,0.115925,93.0043981191002,0,0.341184368893813
2007,12980.5509829955,84436215.2255869,0.109333333333333,93.0043981191002,0,0.341184368893813
2008,18311.9801990007,120989310.585986,0.133926829268293,93.0043981191002,0,0.341184368893813
2009,10838.5853853985,73649263.645568,0.138210526315789,93.0043981191002,0,0.341184368893813
2010,17019.4948145476,120574582.607864,0.12325641025641,93.0043981191002,0,0.341184368893813
2011,20382.3908969442,141678743.26317,0.115026315789474,93.0043981191002,0,0.341184368893813
2012,15236.6380966988,101650735.210804,0.164428571428571,93.0043981191002,0,0.341184368893813
2013,12572.4699649599,84487593.3120419,0.113083333333333,93.0043981191002,0,0.341184368893813
2014,1286.69079482002,47342957.0534578,0.145,93.0043981191002,0,0.341184368893813
